Ex,No,Item,Filler,Grammaticality,Attractor,Surprisal
1A,1,The slogan on the poster [MASK] designed.,was,Grammatical,SG,0.127793302
1A,1,The slogan on the posters [MASK] designed.,was,Grammatical,PL,0.299971664
1A,1,The slogan on the poster [MASK] designed.,were,Ungrammatical,SG,4.457130977
1A,1,The slogan on the posters [MASK] designed.,were,Ungrammatical,PL,2.242640634
1A,2,The picture on the flier [MASK] rosy.,was,Grammatical,SG,0.161591585
1A,2,The picture on the fliers [MASK] rosy.,was,Grammatical,PL,0.168993257
1A,2,The picture on the flier [MASK] rosy.,were,Ungrammatical,SG,7.338855789
1A,2,The picture on the fliers [MASK] rosy.,were,Ungrammatical,PL,5.818133616
1A,3,The mistake in the program [MASK] disastrous.,was,Grammatical,SG,0.253282073
1A,3,The mistake in the programs [MASK] disastrous.,was,Grammatical,PL,0.181435269
1A,3,The mistake in the program [MASK] disastrous.,were,Ungrammatical,SG,7.069434647
1A,3,The mistake in the programs [MASK] disastrous.,were,Ungrammatical,PL,4.949770667
1A,4,The label on the container [MASK] vague.,was,Grammatical,SG,0.161835326
1A,4,The label on the containers [MASK] vague.,was,Grammatical,PL,0.1355631
1A,4,The label on the container [MASK] vague.,were,Ungrammatical,SG,7.820611531
1A,4,The label on the containers [MASK] vague.,were,Ungrammatical,PL,6.735761864
1A,5,The problem in the store [MASK] solved.,was,Grammatical,SG,0.965733302
1A,5,The problem in the stores [MASK] solved.,was,Grammatical,PL,0.539694196
1A,5,The problem in the store [MASK] solved.,were,Ungrammatical,SG,5.686945769
1A,5,The problem in the stores [MASK] solved.,were,Ungrammatical,PL,3.361721388
1A,6,The name on the billboard [MASK] incorrect.,was,Grammatical,SG,0.632392951
1A,6,The name on the billboards [MASK] incorrect.,was,Grammatical,PL,0.531542146
1A,6,The name on the billboard [MASK] incorrect.,were,Ungrammatical,SG,8.008495443
1A,6,The name on the billboards [MASK] incorrect.,were,Ungrammatical,PL,6.444859329
1A,7,The crime in the suburb [MASK] violent.,was,Grammatical,SG,1.890179233
1A,7,The crime in the suburbs [MASK] violent.,was,Grammatical,PL,1.150971674
1A,7,The crime in the suburb [MASK] violent.,were,Ungrammatical,SG,7.148902379
1A,7,The crime in the suburbs [MASK] violent.,were,Ungrammatical,PL,6.616545041
1A,8,The defect in the appliance [MASK] unknown.,was,Grammatical,SG,1.648683201
1A,8,The defect in the appliances [MASK] unknown.,was,Grammatical,PL,1.555115187
1A,8,The defect in the appliance [MASK] unknown.,were,Ungrammatical,SG,8.177469377
1A,8,The defect in the appliances [MASK] unknown.,were,Ungrammatical,PL,6.489458459
1A,9,The citation on the notecard [MASK] available.,was,Grammatical,SG,2.755022561
1A,9,The citation on the notecards [MASK] available.,was,Grammatical,PL,3.261361308
1A,9,The citation on the notecard [MASK] available.,were,Ungrammatical,SG,4.205076682
1A,9,The citation on the notecards [MASK] available.,were,Ungrammatical,PL,4.201848123
1A,10,The advertisement on the skyscraper [MASK] unreadable.,was,Grammatical,SG,0.120314776
1A,10,The advertisement on the skyscrapers [MASK] unreadable.,was,Grammatical,PL,0.142588869
1A,10,The advertisement on the skyscraper [MASK] unreadable.,were,Ungrammatical,SG,5.669263012
1A,10,The advertisement on the skyscrapers [MASK] unreadable.,were,Ungrammatical,PL,3.373635499
1A,11,The traitor in the camp [MASK] dead.,was,Grammatical,SG,0.153960075
1A,11,The traitor in the camps [MASK] dead.,was,Grammatical,PL,0.240443433
1A,11,The traitor in the camp [MASK] dead.,were,Ungrammatical,SG,6.864482198
1A,11,The traitor in the camps [MASK] dead.,were,Ungrammatical,PL,5.026572046
1A,12,The flaw in the argument [MASK] clear.,was,Grammatical,SG,0.247931733
1A,12,The flaw in the arguments [MASK] clear.,was,Grammatical,PL,0.317682244
1A,12,The flaw in the argument [MASK] clear.,were,Ungrammatical,SG,6.434201529
1A,12,The flaw in the arguments [MASK] clear.,were,Ungrammatical,PL,4.835305313
1A,13,The door to the laboratory [MASK] unlocked.,was,Grammatical,SG,0.046874884
1A,13,The door to the laboratories [MASK] unlocked.,was,Grammatical,PL,0.058138305
1A,13,The door to the laboratory [MASK] unlocked.,were,Ungrammatical,SG,8.42408638
1A,13,The door to the laboratories [MASK] unlocked.,were,Ungrammatical,PL,6.789270855
1A,14,The memo from the supervisor [MASK] misunderstood.,was,Grammatical,SG,0.114555676
1A,14,The memo from the supervisors [MASK] misunderstood.,was,Grammatical,PL,0.08964381
1A,14,The memo from the supervisor [MASK] misunderstood.,were,Ungrammatical,SG,6.705837577
1A,14,The memo from the supervisors [MASK] misunderstood.,were,Ungrammatical,PL,5.140436557
1A,15,The check from the stockbroker [MASK] signed.,was,Grammatical,SG,0.117549374
1A,15,The check from the stockbrokers [MASK] signed.,was,Grammatical,PL,0.134880174
1A,15,The check from the stockbroker [MASK] signed.,were,Ungrammatical,SG,7.904765305
1A,15,The check from the stockbrokers [MASK] signed.,were,Ungrammatical,PL,5.868700189
1A,16,The key to the cell [MASK] rusty.,was,Grammatical,SG,0.205947252
1A,16,The key to the cells [MASK] rusty.,was,Grammatical,PL,0.276326493
1A,16,The key to the cell [MASK] rusty.,were,Ungrammatical,SG,9.080500939
1A,16,The key to the cells [MASK] rusty.,were,Ungrammatical,PL,7.481600031
1A,17,The letter from the investigator [MASK] received.,was,Grammatical,SG,0.149672906
1A,17,The letter from the investigators [MASK] received.,was,Grammatical,PL,0.128281784
1A,17,The letter from the investigator [MASK] received.,were,Ungrammatical,SG,6.483344524
1A,17,The letter from the investigators [MASK] received.,were,Ungrammatical,PL,5.196662556
1A,18,The entrance to the exhibit [MASK] closed.,was,Grammatical,SG,0.581464056
1A,18,The entrance to the exhibits [MASK] closed.,was,Grammatical,PL,1.607639167
1A,18,The entrance to the exhibit [MASK] closed.,were,Ungrammatical,SG,7.644836163
1A,18,The entrance to the exhibits [MASK] closed.,were,Ungrammatical,PL,5.427702777
1A,19,The warning from the expert [MASK] unnecessary.,was,Grammatical,SG,0.153852191
1A,19,The warning from the experts [MASK] unnecessary.,was,Grammatical,PL,0.190088339
1A,19,The warning from the expert [MASK] unnecessary.,were,Ungrammatical,SG,7.134419026
1A,19,The warning from the experts [MASK] unnecessary.,were,Ungrammatical,PL,6.290135393
1A,20,The bridge to the island [MASK] burned.,was,Grammatical,SG,0.172672138
1A,20,The bridge to the islands [MASK] burned.,was,Grammatical,PL,0.167154838
1A,20,The bridge to the island [MASK] burned.,were,Ungrammatical,SG,5.961954338
1A,20,The bridge to the islands [MASK] burned.,were,Ungrammatical,PL,3.048724549
1A,21,The gift from the visitor [MASK] unexpected.,was,Grammatical,SG,0.023073529
1A,21,The gift from the visitors [MASK] unexpected.,was,Grammatical,PL,0.028357226
1A,21,The gift from the visitor [MASK] unexpected.,were,Ungrammatical,SG,8.975622525
1A,21,The gift from the visitors [MASK] unexpected.,were,Ungrammatical,PL,7.654411938
1A,22,The path to the monument [MASK] straight.,was,Grammatical,SG,0.074330512
1A,22,The path to the monuments [MASK] straight.,was,Grammatical,PL,0.07414368
1A,22,The path to the monument [MASK] straight.,were,Ungrammatical,SG,7.58141586
1A,22,The path to the monuments [MASK] straight.,were,Ungrammatical,PL,7.344282899
1A,23,The message from the engineer [MASK] simple.,was,Grammatical,SG,0.036740324
1A,23,The message from the engineers [MASK] simple.,was,Grammatical,PL,0.062663231
1A,23,The message from the engineer [MASK] simple.,were,Ungrammatical,SG,7.62745193
1A,23,The message from the engineers [MASK] simple.,were,Ungrammatical,PL,6.053222769
1A,24,The gate to the pasture [MASK] repaired.,was,Grammatical,SG,0.044446964
1A,24,The gate to the pastures [MASK] repaired.,was,Grammatical,PL,0.071156914
1A,24,The gate to the pasture [MASK] repaired.,were,Ungrammatical,SG,6.345813624
1A,24,The gate to the pastures [MASK] repaired.,were,Ungrammatical,PL,4.14279608
1A,25,The advertisement from the club [MASK] colorful.,was,Grammatical,SG,0.098652185
1A,25,The advertisement from the clubs [MASK] colorful.,was,Grammatical,PL,0.1227464
1A,25,The advertisement from the club [MASK] colorful.,were,Ungrammatical,SG,5.593549004
1A,25,The advertisement from the clubs [MASK] colorful.,were,Ungrammatical,PL,3.183682418
1A,26,The announcement by the director [MASK] important.,was,Grammatical,SG,0.157837235
1A,26,The announcement by the directors [MASK] important.,was,Grammatical,PL,0.163530165
1A,26,The announcement by the director [MASK] important.,were,Ungrammatical,SG,7.753290594
1A,26,The announcement by the directors [MASK] important.,were,Ungrammatical,PL,6.922403064
1A,27,The article by the writer [MASK] confusing.,was,Grammatical,SG,0.706841191
1A,27,The article by the writers [MASK] confusing.,was,Grammatical,PL,0.79330366
1A,27,The article by the writer [MASK] confusing.,were,Ungrammatical,SG,8.325917452
1A,27,The article by the writers [MASK] confusing.,were,Ungrammatical,PL,7.030795204
1A,28,The author of the speech [MASK] young.,was,Grammatical,SG,0.657344085
