Ex,No,Item,Reflexive,Grammaticality,Attractor,Surprisal
2A,1,The photographer that the famous actor praised depicted [MASK] as a strict person.,himself,Grammatical,SG,3.42773929
2A,1,The photographer that the famous actors praised depicted [MASK] as a strict person.,himself,Grammatical,PL,4.198061502
2A,1,The photographer that the famous actor praised depicted [MASK] as a strict person.,themselves,Ungrammatical,SG,8.198549373
2A,1,The photographer that the famous actors praised depicted [MASK] as a strict person.,themselves,Ungrammatical,PL,7.853187673
2A,2,The factory worker that the influential senator talked about inspired [MASK] to be a better person.,himself,Grammatical,SG,7.407591832
2A,2,The factory worker that the influential senators talked about inspired [MASK] to be a better person.,himself,Grammatical,PL,7.486530605
2A,2,The factory worker that the influential senator talked about inspired [MASK] to be a better person.,themselves,Ungrammatical,SG,10.57391182
2A,2,The factory worker that the influential senators talked about inspired [MASK] to be a better person.,themselves,Ungrammatical,PL,8.499598145
2A,3,The bank robber that the trustworthy officer talked about criticized [MASK] for the noticeable error.,himself,Grammatical,SG,3.428588565
2A,3,The bank robber that the trustworthy officers talked about criticized [MASK] for the noticeable error.,himself,Grammatical,PL,3.49904207
2A,3,The bank robber that the trustworthy officer talked about criticized [MASK] for the noticeable error.,themselves,Ungrammatical,SG,7.014660522
2A,3,The bank robber that the trustworthy officers talked about criticized [MASK] for the noticeable error.,themselves,Ungrammatical,PL,5.059415795
2A,4,The photographer that the talented director introduced described [MASK] as a mean person.,himself,Grammatical,SG,3.416105866
2A,4,The photographer that the talented directors introduced described [MASK] as a mean person.,himself,Grammatical,PL,3.592953857
2A,4,The photographer that the talented director introduced described [MASK] as a mean person.,themselves,Ungrammatical,SG,6.826580551
2A,4,The photographer that the talented directors introduced described [MASK] as a mean person.,themselves,Ungrammatical,PL,6.305033936
2A,5,The influential speaker that the democratic senator introduced distinguished [MASK] as an honorable person.,himself,Grammatical,SG,1.988934093
2A,5,The influential speaker that the democratic senators introduced distinguished [MASK] as an honorable person.,himself,Grammatical,PL,1.767726898
2A,5,The influential speaker that the democratic senator introduced distinguished [MASK] as an honorable person.,themselves,Ungrammatical,SG,6.49818404
2A,5,The influential speaker that the democratic senators introduced distinguished [MASK] as an honorable person.,themselves,Ungrammatical,PL,4.397997886
2A,6,The journalist that the city official talked about characterized [MASK] as a helpful person.,himself,Grammatical,SG,4.652216235
2A,6,The journalist that the city officials talked about characterized [MASK] as a helpful person.,himself,Grammatical,PL,4.948419535
2A,6,The journalist that the city official talked about characterized [MASK] as a helpful person.,themselves,Ungrammatical,SG,8.510409589
2A,6,The journalist that the city officials talked about characterized [MASK] as a helpful person.,themselves,Ungrammatical,PL,7.663354139
2A,7,The dishonest lawyer that the witness pointed out misrepresented [MASK] in the murder trial.,himself,Grammatical,SG,0.353027813
2A,7,The dishonest lawyer that the witnesses pointed out misrepresented [MASK] in the murder trial.,himself,Grammatical,PL,0.557984971
2A,7,The dishonest lawyer that the witness pointed out misrepresented [MASK] in the murder trial.,themselves,Ungrammatical,SG,5.540597405
2A,7,The dishonest lawyer that the witnesses pointed out misrepresented [MASK] in the murder trial.,themselves,Ungrammatical,PL,3.280140587
2A,8,The film director that the aspiring actor worried about would portray [MASK] as a dumb person.,himself,Grammatical,SG,1.877387261
2A,8,The film director that the aspiring actors worried about would portray [MASK] as a dumb person.,himself,Grammatical,PL,3.436299383
2A,8,The film director that the aspiring actor worried about would portray [MASK] as a dumb person.,themselves,Ungrammatical,SG,5.491729418
2A,8,The film director that the aspiring actors worried about would portray [MASK] as a dumb person.,themselves,Ungrammatical,PL,5.405546265
2A,9,The new clerk that the skilled executive talked about described [MASK] as a hard worker.,himself,Grammatical,SG,3.678439579
2A,9,The new clerk that the skilled executives talked about described [MASK] as a hard worker.,himself,Grammatical,PL,3.854693129
2A,9,The new clerk that the skilled executive talked about described [MASK] as a hard worker.,themselves,Ungrammatical,SG,6.941364386
2A,9,The new clerk that the skilled executives talked about described [MASK] as a hard worker.,themselves,Ungrammatical,PL,6.442648575
2A,10,The stock broker that the wealthy banker praised cast [MASK] in a negative light.,himself,Grammatical,SG,4.001715035
2A,10,The stock broker that the wealthy bankers praised cast [MASK] in a negative light.,himself,Grammatical,PL,3.832692283
2A,10,The stock broker that the wealthy banker praised cast [MASK] in a negative light.,themselves,Ungrammatical,SG,7.195830638
2A,10,The stock broker that the wealthy bankers praised cast [MASK] in a negative light.,themselves,Ungrammatical,PL,5.422793528
2A,11,The photographer that the actor talked about depicted [MASK] as a strong person.,himself,Grammatical,SG,2.620392651
